tRF,01-LA2CO2-1_S1_full,02-LA2CO2-2_S2_full,03-LA2CO2-3_S3_full,04-LA2CO2-4_S4_full,05-LA2CN30-1_S5_full,06-LA2CN30-2_S6_full,07-LA2CN30-3_S7_full,08-LA2CN30-4_S8_full,09-LA2CN60-1_S9_full,10-LA2CN60-2_S10_full,11-LA2CN60-3_S11_full,12-LA2CN60-4_S12_full,13-LA2CN2-1_S13_full,14-LA2CN2-2_S14_full,15-LA2CN2-3_S15_full,16-LA2CN2-4_S16_full,17-LA2CO4-1_S17_full,18-LA2CO4-2_S18_full,19-LA2CO4-3_S19_full,20-LA2CO4-4_S20_full,21-LA2CN4-1_S21_full,22-LA2CN4-2_S22_full,23-LA2CN4-3_S23_full,24-LA2CN4-4_S24_full,25-LA5CO2-1_S25_full,26-LA5CO2-2_S26_full,27-LA5CO2-3_S27_full,28-LA5CO2-4_S28_full,29-LA5CN30-1_S29_full,30-LA5CN30-2_S30_full,31-LA5CN30-3_S31_full,32-LA5CN30-4_S32_full,33-LA5CN60-1_S33_full,34-LA5CN60-2_S34_full,35-LA5CN60-3_S35_full,36-LA5CN60-4_S36_full,37-LA5CN2-1_S37_full,38-LA5CN2-2_S38_full,39-LA5CN2-3_S39_full,40-LA5CN2-4_S40_full,41-LA5CO4-1_S41_full,42-LA5CO4-2_S42_full,43-LA5CO4-3_S43_full,44-LA5CO4-4_S44_full,45-LA5CN4-1_S45_full,46-LA5CN4-2_S46_full,47-LA5CN4-3_S47_full,48-LA5CN4-4_S48_full
tRF-19-0PD830JZ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tRF-19-0PNYRKKK,2,0,2,4,2,5,2,3,4,0,2,2,1,1,3,6,1,2,2,2,0,4,4,0,3,3,3,1,4,5,0,4,2,2,2,2,3,5,6,6,0,1,0,6,2,5,4,4
tRF-19-0PRMQ0K2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-0RMI3RE2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tRF-19-0UB39425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-0UD39425,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-0VL8K825,3,0,1,1,3,4,1,0,1,2,0,2,2,0,1,4,22,28,25,31,4,5,1,10,2,1,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,1,0,2,1,0,0,0
tRF-19-10H7RN16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tRF-19-10NO0RHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-11WZY1E2,2,0,0,1,1,2,0,0,3,1,0,2,0,0,3,1,1,2,1,2,1,0,3,0,0,3,0,3,0,0,0,2,2,0,3,3,1,1,1,2,2,1,1,0,0,0,1,0
tRF-19-1293WEJ5,2,12,7,9,7,7,14,9,2,8,3,1,4,5,6,7,2,6,4,7,4,3,5,1,9,8,3,7,15,14,7,7,11,5,8,4,10,7,7,5,3,1,4,8,6,1,4,6
tRF-19-12Z4R9HZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-136SF8JO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tRF-19-13QXQW2R,2,6,1,2,3,2,7,3,2,1,0,0,1,2,5,3,1,3,3,5,0,2,3,1,4,2,1,3,7,4,1,3,1,3,1,3,2,7,6,1,5,0,1,3,4,3,1,3
tRF-19-147673E6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tRF-19-14PSR9HW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-15WV7WIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
tRF-19-1664PUI4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tRF-19-1690PQIY,2,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0
tRF-19-16M4PU24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
tRF-19-16MSRME2,0,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,2,3,0,4,7,1,3,5,4,2,3,2,4,4,1,3,4,4,1,5,2,4,2,2
tRF-19-17M4O1J2,1,2,2,2,7,5,0,10,2,2,9,6,5,3,6,3,4,0,4,0,2,3,1,2,4,5,5,12,3,5,10,5,2,3,8,5,5,10,4,4,6,5,5,5,4,3,6,2
tRF-19-184KISIM,5,1,8,2,4,3,8,5,6,1,3,7,7,5,7,7,3,1,3,0,0,2,3,1,29,27,28,23,42,31,35,44,27,27,39,31,27,24,20,20,21,27,15,39,24,26,11,21
tRF-19-184KIYIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tRF-19-188MEN1V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
tRF-19-18RZXPJ3,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
tRF-19-18S2PNJR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-18V0LQIQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tRF-19-18V0LWIQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-18X3HR1V,2,5,1,1,0,7,8,0,2,2,2,0,1,8,5,2,1,1,0,1,2,1,2,4,7,3,3,1,3,3,5,4,5,4,5,4,0,4,1,1,1,3,3,6,6,3,2,7
tRF-19-18Y0QEIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
tRF-19-18Y2PI2D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-18Y3E7IM,0,2,1,2,1,2,1,3,0,3,2,2,1,1,1,3,2,1,0,3,0,1,0,1,2,12,2,2,6,5,4,4,1,3,6,7,8,12,6,3,3,11,8,4,5,2,4,5
tRF-19-18Y3E7IN,13,12,15,8,9,11,13,12,13,12,13,6,14,16,26,13,12,9,11,13,7,5,6,6,43,48,19,44,74,44,41,65,57,60,61,62,66,67,52,48,35,73,39,83,76,37,44,61
tRF-19-18Y3HR1V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0
tRF-19-18YKI6IM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,3,3,0,0,2,0,2
tRF-19-18YKISIM,50,64,45,74,94,72,74,94,65,43,74,82,88,83,90,96,57,47,68,47,45,41,65,91,306,313,193,340,400,431,341,442,224,267,343,337,294,309,324,267,344,463,299,507,241,215,201,195
tRF-19-18YMEMJW,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-195181JX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-195RWIIY,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-199M88F4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-19BMW3I6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tRF-19-19BMW3IX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tRF-19-19BMWIIY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-19ZL7UEB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-1E8Y7ZFV,4,3,1,1,8,9,1,1,1,2,1,2,3,3,3,0,4,1,5,6,1,4,8,6,53,54,22,62,89,83,53,67,40,51,60,63,60,66,66,40,46,45,47,48,62,43,50,45
tRF-19-1ER37EEZ,1,0,1,1,1,0,0,0,0,1,0,1,1,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
tRF-19-1EWJQ7FV,2,1,4,1,2,2,2,0,5,1,0,4,2,3,1,2,4,0,3,2,2,3,3,4,9,7,4,9,14,8,8,11,5,6,7,8,10,10,14,8,16,8,20,6,4,5,4,4
tRF-19-1EWJQZFV,0,1,2,3,0,2,1,0,1,0,0,0,5,0,1,0,1,1,0,0,1,0,0,0,0,1,2,3,2,2,6,4,3,2,5,1,0,0,1,1,3,3,3,2,1,1,1,1
tRF-19-1F8J4SH9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-1FNJ4709,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-1HI242ED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
tRF-19-1HI2NIED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-1HN2Y0I5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0
tRF-19-1HN2ZPI5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
tRF-19-1HPSR9HW,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-1HWUNSID,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0
tRF-19-1HWUYSID,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
tRF-19-1HZ24UED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-1IUUK7JE,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-1KILQ624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
tRF-19-1KV02ZHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tRF-19-1KVUY92E,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,1,5,1,1,0,2,1,0,0,0,0,2,1
tRF-19-1LQ4PU24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-1MNKYUIJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-1MQ8YUKJ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-1OHE10HO,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
tRF-19-1PFQJDKQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-1PSJPMFD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,2,1,0,0,2,2,2,2,1,2,0,3,2,2,1,2,0,1
tRF-19-1PSJQMFD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
tRF-19-1PW4PU24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
tRF-19-1QKS3WF8,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,1,1,1,0,0,0,1,2,0,0,2,1,0,1,1,1,2,0,0,1,0
tRF-19-1R265MI2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,2,0,1,1,0,1,1,0,1,0,0,0,1,3,2,0,1,3,1
tRF-19-1R27R3I2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tRF-19-1R7HFEE2,4,17,10,25,16,11,14,16,17,9,13,17,12,12,22,17,190,141,142,189,54,51,46,82,6,4,6,5,9,17,8,8,11,4,6,4,7,7,13,16,7,8,4,10,9,8,7,7
tRF-19-1RJYSXI2,1,0,0,1,1,1,4,1,3,0,3,3,2,0,0,2,2,2,0,0,0,0,2,1,2,1,0,0,2,3,2,1,1,0,2,1,1,0,2,0,0,0,0,0,3,0,0,0
tRF-19-1RMF5EI2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-1RMH5MI2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-1RXSMMI2,0,1,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,4,0,1,0,3,0,1,1,1,1,1,0,2,1,0,1,0
tRF-19-1S72P4IR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
tRF-19-1S91542O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tRF-19-1SH2P4ER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2,1,0
tRF-19-1SS2P4IR,6,7,9,6,9,9,3,5,7,2,9,10,16,14,8,6,9,16,27,13,7,13,13,13,99,88,46,99,116,104,75,80,56,72,94,74,104,121,61,107,94,85,62,114,104,83,90,66
tRF-19-1SS2PLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,1,0,0,1,1,0,1,2,0,0,3,0,1,1
tRF-19-1SS2PMER,40,63,53,46,52,50,60,55,51,61,50,55,56,63,50,61,38,32,36,38,39,24,45,44,356,373,177,316,492,427,355,371,298,390,425,357,360,358,317,261,338,387,312,472,338,245,251,308
tRF-19-1WZ4RZ0Z,0,5,0,2,1,1,1,1,0,3,0,1,1,3,0,2,3,1,2,0,1,1,0,0,0,2,0,0,0,1,3,2,0,1,0,0,2,2,4,6,1,0,0,0,0,3,0,1
tRF-19-1XDDZZH3,2,3,2,1,4,3,4,2,2,6,3,0,2,0,4,3,2,4,1,1,4,1,4,8,1,1,1,3,6,3,1,5,2,2,1,4,3,4,8,8,2,0,0,3,5,3,1,7
tRF-19-1Y0SR9IE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-1Y7PFWIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
tRF-19-1YH2PMER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tRF-19-1YIF54IZ,3,1,4,8,3,4,7,3,2,0,0,1,6,2,5,4,2,6,2,1,0,1,3,6,4,3,5,7,3,10,3,9,4,3,1,5,9,9,7,2,3,3,0,2,4,4,3,0
tRF-19-1YS20MER,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-1YS2P4IR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
tRF-19-1YS2PMER,3,7,5,1,6,3,2,3,4,8,5,6,4,7,6,2,2,1,4,5,3,1,1,5,12,19,5,16,19,12,14,5,14,14,14,14,17,20,16,8,12,12,17,14,8,8,8,11
tRF-19-1ZILQX15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-23W8WRE0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tRF-19-245J7KKK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-2473832B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-24OUQHH4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tRF-19-27NXJ4E2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,1,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1
tRF-19-299JZUFJ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,2,0,2,1,4,0,3,0,1,3,0,0,0
tRF-19-2DN1RJKJ,12,16,12,18,29,23,12,13,11,23,8,7,11,18,10,15,10,8,6,11,13,6,9,7,8,6,5,11,15,19,8,7,6,6,7,15,18,15,16,7,1,6,6,5,9,9,8,4
tRF-19-2E3KXR15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tRF-19-2E489215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-2E489B15,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-2EK8E01J,1,0,1,0,1,1,0,0,0,0,0,0,0,0,3,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,2,0,0,1,0,1,0,0
tRF-19-2ERPFVJM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-2F5JYHEJ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-2F9IY9E2,1,2,0,1,3,2,1,0,1,3,2,0,1,2,1,1,2,0,0,2,0,1,0,2,0,0,1,0,6,3,3,2,3,2,4,2,0,4,0,0,0,0,1,2,3,3,1,1
tRF-19-2FYOB0FB,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tRF-19-2IKBUB21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-2J1Y0S2E,0,1,2,0,0,1,0,1,1,0,0,0,0,6,0,0,2,3,0,3,5,1,0,1,2,6,3,4,2,3,3,3,3,1,3,5,2,4,2,5,1,2,2,4,0,1,3,1
tRF-19-2J1Y0SIW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-2LNOZ7I2,3,6,2,6,4,1,4,2,4,2,2,6,4,4,4,8,22,9,12,18,5,3,8,17,3,3,2,7,3,2,2,3,4,3,3,1,10,9,1,6,3,3,4,7,6,7,5,6
tRF-19-2MK82711,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-2MK8J711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tRF-19-2NKSEKH9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tRF-19-2OOIQOH2,1,1,1,0,1,3,0,0,0,0,0,2,0,1,1,0,2,0,0,0,0,1,0,2,1,0,0,0,3,0,0,1,0,2,1,0,0,1,2,0,1,1,0,0,0,0,0,0
tRF-19-2P3HPS2E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
